University,Country
Universität Stuttgart,Germany
University of Michigan - Ann Arbor,United States
Pimpri Chinchwad College Of Engineering,India
Carnegie Mellon University,United States
Fachhochschule Joanneum Graz,Austria
Karlsruhe Institute of Technology,Germany
Czech Technical University in Prague,Czech Republic
École Polytechnique de Montréal,Canada
National Tsing Hua University,Taiwan
National Technical University of Athens,Greece
Technische Universität Hamburg,Germany
TU Delft,Netherlands
ETH Zürich,Switzerland
The University of Akron,United States
University of Washington,United States
GFR DHBW Ravensburg & Oregon State University,Germany / United States
Universidade Estadual de Campinas,Brazil
Technische Universität Dresden,Germany
Technische Hochschule Ingolstadt,Germany
Politecnico di Milano,Italy
Norwegian University of Science and Technology,Norway
University of Texas at Austin,United States
KU Leuven - Group T Campus,Belgium
University of Surrey,United Kingdom
Universidade de Lisboa - Instituto Superior Técnico,Portugal
Missouri University of Science and Technology,United States
Università degli studi di Padova,Italy
Universität Bayreuth,Germany
Fachhochschule München,Germany
Chalmers University of Technology,Sweden
Duale Hochschule Baden-Württemberg - Mannheim,Germany
Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,Germany
University of Strathclyde,United Kingdom
Università degli Studi di Parma,Italy
Technische Universität Darmstadt,Germany
K. J. Somaiya College of Engineering,India
Alma Mater Studiorum - Università di Bologna,Italy
École Polytechnique Fédérale de Lausanne,Switzerland
University of Nottingham,United Kingdom
Oxford Brookes University,United Kingdom
University Of Hertfordshire,United Kingdom
Helsinki Metropolia University of Applied Sciences,Finland
Heriot-Watt University,United Kingdom
University of Illinois at Urbana-Champaign,United States
Fachhochschule Konstanz,Germany
Technische Universität Kaiserslautern,Germany
Indian Institute of Technology Delhi,India
MIT World Peace University,India
Purdue University - West Lafayette,United States
Smt. Kashibai Navale College of Engineering,India
University of Manitoba,Canada
UAS Kempten,Germany
Leibniz Universität Hannover,Germany
Università degli Studi di Trento,Italy
Hochschule Mannheim,Germany
University of Kansas,United States
University of New Mexico,United States
Virginia Polytechnic Institute and State University,United States
Dwarkadas. J. Sanghvi College of Engineering,India
Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany
Technische Hochschule Köln,Germany
Iwate University,Japan
Cornell University,United States
Yıldız Technical University,Turkey
University of Patras,Greece
Technische Universität Chemnitz,Germany
Ain Shams University,Egypt
VIT University - Vellore,India
University of Ljubljana,Slovenia
University of British Columbia - Vancouver,Canada
The University of Michigan-Dearborn,United States
Guangdong University of Technology,China
Karlstad University,Sweden
Poznan University of Technology,Poland
Concordia University,Canada
MCT's Rajiv Gandhi Institute of Technology,India
North Carolina State University,United States
PSG Institute of Technology and Applied Research,India
