Rank,University,Points
1,University of Southampton,140.0
2,University Of Hertfordshire,101.94
3,University of Strathclyde,99.0
4,University of Bath,98.34
5,Oxford Brookes University,96.5
6,Heriot-Watt University,77.0
7,Queen's University Belfast,69.0
8,University of Surrey,68.75
9,Coventry University,65.0
10,Manchester Metropolitan University,58.0
11,Imperial College London,57.62
12,University of Nottingham,57.5
13,Lancaster  University,57.25
14,Loughborough University,52.0
15,Liverpool John Moores University,51.0
16,University of Sussex,49.0
17,Brunel University London,47.0
18,Newcastle University,44.5
19,University of Warwick,42.33
20,Kingston University,30.0
21,University of Birmingham,30.0
22,University of Leicester,25.0
23,University of Bristol,15.0
24,University of Oxford,0.0
