date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Michigan,0.93,89,62.,76.,53.,27.,-,-,45.,51.,-,-10,216,376.
2019,Michigan,0.97,108,92.,79.,33.,79.,86.,86.,-,73.,-,0,188,376.
2018,Michigan,0.97,114,94.,31.,28.,84.,90.,90.,80.,81.,-,0,197,338.
2017,Michigan,0.98,109,78.,25.,33.,86.,71.,83.,75.,46.,-,0,269,269.
2015,Michigan,0.95,108,62.,61.,58.,57.,62.,42.,70.,36.,-,0,277,251.
2014,Michigan,0.97,107,57.,81.,51.,38.,72.,29.,43.,63.,-,0,303,224.
2013,Michigan,0.97,104,63.,51.,22.,63.,69.,43.,50.,74.,-,0,279,206.
2012,Michigan,0.98,104,34.,38.,41.,75.,51.,59.,50.,28.,27.,0,443,142.
2010,Michigan,0.96,101,56.,28.,82.,73.,14.,48.,44.,-,-,0,288,249.
2009,Michigan,0.97,90,71.,76.,42.,50.,64.,-,65.,-,-,0,175,284.
2008,Virginia,0.88,28,14.,25.,19.,5.,12.,-,-,-,-,0,257,240.
2006,Michigan,0.99,118,94.,112.,61.,40.,-,-,76.,-,-,0,186,214.
1996,Michigan,0.99,68,67.,68.,52.,56.,-,17.,21.,25.,-,0,70,91.
