date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Michigan,0.93,89,45.,36.,26.,27.,49.,14.,20.,45.,-,0,362,198.
2019,Michigan,0.97,108,42.,55.,73.,45.,32.,47.,69.,39.,13.,0,459,183.
2018,Michigan,0.97,114,77.,38.,74.,48.,87.,88.,72.,29.,-,0,267,256.
2017,Lincoln,0.92,70,35.,49.,17.,41.,9.,30.,26.,25.,-,-50,433,209.
2017,Michigan,0.98,109,64.,27.,92.,51.,35.,54.,35.,92.,-,0,334,297.
2016,Lincoln,0.92,69,58.,63.,56.,44.,-,-,-,47.,-,0,140,390.
2015,Michigan,0.95,108,94.,32.,73.,87.,-,-,72.,51.,-,-50,170,348.
2014,Michigan,0.97,107,69.,60.,46.,74.,77.,67.,53.,37.,-,0,260,333.
2013,Michigan,0.97,104,95.,93.,93.,63.,-,-,81.,79.,-,-10,146,378.
2011,Michigan,0.97,97,73.,75.,64.,67.,-,-,36.,82.,-,0,223,244.
2009,Michigan,0.97,90,42.,28.,70.,29.,55.,43.,43.,34.,-,0,346,175.
2009,Virginia,0.92,21,15.,11.,9.,9.,-,-,12.,-,-,0,287,211.
2008,Michigan,1.00,104,63.,81.,62.,37.,55.,70.,54.,-,-,0,306,201.
2006,Michigan,0.99,118,113.,117.,93.,106.,-,-,-,-,-,0,107,261.
2003,Michigan,1.00,111,110.,108.,-,-,-,-,-,-,-,0,23,196.
