date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Michigan,0.90,43,37.,39.,18.,20.,-,-,-,-,-,0,142,377.
2019,Lincoln,0.92,76,72.,73.,33.,-,-,-,-,-,-,0,105,516.
2009,Michigan,0.97,90,38.,72.,58.,12.,45.,6.,19.,-,-,0,362,130.
2008,Michigan,1.00,104,38.,73.,5.,15.,36.,16.,33.,-,-,0,419,110.
2007,Michigan,0.99,105,72.,96.,51.,38.,48.,58.,73.,-,-,0,277,115.
2006,Michigan,0.99,118,22.,87.,13.,40.,34.,38.,40.,19.,-,0,602,46.
2005,Michigan,0.99,114,63.,57.,88.,77.,57.,39.,31.,-,-,0,329,83.
2004,Michigan,1.00,129,23.,66.,26.,21.,41.,79.,78.,18.,-,0,524,44.
2003,Michigan,1.00,111,41.,58.,60.,43.,65.,56.,46.,29.,-,0,366,71.
2002,Michigan,0.99,121,34.,36.,54.,46.,19.,56.,29.,31.,-,0,401,66.
2001,Michigan,1.00,108,70.,64.,79.,15.,73.,-,-,-,-,0,218,89.
2000,Michigan,0.99,94,77.,69.,54.,74.,-,-,-,-,-,0,147,94.
1999,Michigan,1.00,89,64.,31.,36.,63.,-,57.,-,-,-,0,179,77.
1998,Michigan,1.00,81,64.,5.,22.,73.,-,-,-,-,-,0,198,75.
1996,Michigan,0.99,68,52.,34.,66.,40.,-,-,-,33.,-,0,131,80.
1994,Michigan,0.96,58,59.,51.,16.,39.,-,-,-,-,-,0,81,55.
