date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Spain,0.94,28,10.,14.,8.,5.,6.,4.,2.,-,-,0,466,72.
2019,Germany,0.97,60,17.,35.,3.,6.,7.,5.,2.,-,-,0,509,37.
2019,Austria,0.95,34,2.,8.,3.,5.,5.,1.,2.,4.,1.,0,847,12.
2019,Netherlands,0.87,28,8.,3.,2.,5.,3.,2.,1.,-,-,0,513,36.
2019,Michigan,0.97,108,2.,71.,12.,8.,4.,6.,1.,1.,1.,0,885,5.
2018,Spain,0.96,37,12.,12.,6.,12.,8.,3.,4.,-,-,0,458,18.
2018,Germany,0.97,57,2.,6.,1.,8.,15.,1.,10.,4.,1.,-5,881,1.
2018,Austria,0.94,30,1.,20.,8.,8.,1.,5.,10.,1.,1.,-18,846,1.
2018,Italy,0.85,46,1.,38.,1.,4.,17.,1.,1.,3.,1.,0,908,3.
2018,Michigan,0.97,114,2.,77.,8.,3.,49.,2.,2.,2.,2.,0,812,4.
2017,Spain,0.94,31,1.,10.,3.,4.,13.,1.,3.,3.,2.,0,871,3.
2017,Germany,0.97,64,2.,32.,28.,6.,3.,17.,4.,2.,1.,0,862,9.
2017,Austria,0.97,31,10.,26.,15.,4.,1.,3.,2.,-,-,-28,457,52.
2017,Italy,0.91,43,12.,37.,9.,5.,8.,1.,3.,26.,-,0,518,16.
2017,Michigan,0.98,109,3.,96.,44.,7.,32.,4.,2.,1.,1.,0,855,2.
2016,Spain,0.97,36,2.,4.,4.,4.,12.,1.,9.,4.,1.,0,855,2.
2016,Germany,0.99,73,7.,33.,38.,16.,32.,28.,9.,3.,2.,0,751,3.
2016,Austria,0.97,21,4.,10.,16.,5.,12.,2.,5.,3.,2.,-40,780,4.
2016,United Kingdom,0.98,106,3.,17.,80.,23.,23.,6.,11.,3.,10.,0,709,4.
2016,Michigan,0.98,114,2.,96.,31.,7.,20.,6.,1.,1.,2.,0,871,3.
2015,Japan,0.95,75,1.,63.,3.,1.,1.,1.,1.,1.,3.,0,807,5.
2015,Austria,0.94,20,2.,5.,9.,3.,4.,6.,3.,2.,1.,0,863,10.
2015,Germany,0.97,71,4.,46.,12.,29.,4.,5.,5.,3.,3.,0,744,20.
2015,United Kingdom,0.94,92,24.,70.,50.,16.,11.,2.,5.,32.,-,-10,410,47.
2015,Michigan,0.95,108,3.,94.,14.,7.,8.,2.,2.,3.,31.,0,821,11.
2014,Italy,0.90,44,1.,13.,4.,1.,4.,2.,2.,2.,4.,-10,917,19.
2014,Austria,0.91,19,9.,5.,3.,2.,9.,4.,4.,13.,4.,-25,548,48.
2014,Germany,0.98,74,20.,19.,22.,8.,13.,26.,4.,-,7.,0,500,34.
2013,Italy,0.94,42,4.,-,6.,3.,11.,1.,6.,4.,1.,0,729,22.
2013,Austria,0.97,39,9.,15.,6.,5.,14.,18.,9.,10.,10.,0,711,29.
2013,Germany,0.97,74,13.,3.,21.,13.,28.,16.,6.,22.,4.,-10,680,40.
2013,United Kingdom,0.97,83,11.,4.,5.,17.,12.,8.,6.,25.,7.,0,568,58.
2013,Michigan,0.97,104,7.,75.,9.,5.,36.,20.,8.,13.,2.,0,754,50.
2012,Hungary,0.91,39,15.,8.,10.,8.,20.,12.,6.,-,-,0,494,107.
2012,Germany,0.98,76,47.,59.,36.,10.,-,24.,32.,-,-,0,293,111.
2012,Austria,0.95,37,13.,12.,18.,11.,15.,3.,20.,18.,12.,0,553,50.
2012,United Kingdom,0.95,97,10.,26.,46.,19.,40.,8.,20.,10.,5.,0,590,42.
2012,Michigan,0.98,104,6.,85.,4.,5.,2.,9.,9.,7.,17.,0,751,40.
2011,Italy,0.92,49,27.,33.,3.,3.,1.,6.,35.,24.,-,-50,367,95.
2011,Germany,0.96,74,20.,27.,11.,15.,2.,9.,9.,-,16.,0,493,41.
2011,Austria,0.94,27,8.,3.,1.,3.,2.,11.,4.,-,-,0,470,27.
2011,United Kingdom,0.95,77,5.,50.,13.,14.,16.,5.,5.,7.,5.,-4,685,14.
2011,Michigan,0.97,97,4.,83.,5.,2.,7.,2.,18.,3.,17.,0,816,12.
