date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,United Kingdom,0.85,51,50.,50.,38.,49.,-,-,-,-,-,-10,47,499.
2021,United Kingdom,0.85,32,29.,28.,30.,24.,-,-,-,-,-,0,75,543.
2019,United Kingdom,0.85,64,52.,52.,39.,55.,24.,25.,30.,42.,-,0,130,493.
2017,United Kingdom,0.85,62,50.,31.,60.,54.,-,24.,27.,26.,-,0,130,454.
2016,United Kingdom,0.98,106,80.,72.,36.,92.,-,-,-,40.,-,0,136,427.
2015,United Kingdom,0.94,92,69.,79.,29.,57.,-,-,-,-,-,0,137,430.
2014,United Kingdom,0.98,90,77.,-,23.,86.,-,-,43.,24.,-,0,108,431.
2012,United Kingdom,0.95,97,50.,40.,30.,82.,27.,-,-,32.,-,-2,200,353.
2011,United Kingdom,0.95,77,44.,55.,54.,44.,30.,25.,24.,38.,-,0,225,290.
2010,United Kingdom,0.97,72,66.,60.,34.,-,-,-,-,-,-,0,94,278.
2009,United Kingdom,0.96,78,27.,14.,46.,60.,-,-,23.,14.,-,-2,478,156.
2008,United Kingdom,0.95,72,44.,30.,20.,46.,36.,38.,31.,-,-,0,190,277.
2007,United Kingdom,0.97,69,46.,52.,27.,51.,34.,40.,37.,-,-,0,193,248.
2006,United Kingdom,0.93,58,54.,47.,47.,43.,-,-,-,-,-,0,140,239.
2005,United Kingdom,0.93,57,40.,5.,8.,27.,-,-,-,-,-,0,233,164.
2004,United Kingdom,0.90,53,35.,8.,49.,32.,16.,34.,33.,-,-,0,237,142.
2003,United Kingdom,0.86,34,18.,5.,24.,17.,17.,-,17.,5.,3.,0,319,108.
2002,United Kingdom,0.87,35,25.,6.,25.,27.,-,-,23.,-,-,0,246,113.
