date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,United Kingdom,0.85,51,1.,8.,20.,5.,4.,2.,1.,3.,7.,17,793,65.
2021,United Kingdom,0.85,32,8.,18.,15.,3.,3.,4.,3.,10.,-,0,469,155.
2019,United Kingdom,0.85,64,12.,32.,3.,8.,6.,6.,14.,15.,8.,0,492,152.
2018,United Kingdom,0.88,70,11.,25.,2.,16.,20.,21.,27.,15.,12.,0,506,182.
2017,United Kingdom,0.85,62,21.,20.,18.,24.,12.,24.,16.,19.,-,0,334,328.
2016,United Kingdom,0.98,106,87.,36.,37.,72.,-,-,-,-,-,-50,112,415.
2015,United Kingdom,0.94,92,51.,51.,20.,44.,-,-,-,38.,-,0,194,395.
2013,United Kingdom,0.97,83,80.,63.,65.,74.,-,-,-,-,-,-50,56,474.
2011,United Kingdom,0.95,77,68.,46.,40.,-,-,-,-,-,-,0,113,406.
2008,United Kingdom,0.95,72,64.,57.,60.,66.,-,-,-,-,-,0,96,359.
