Rank,University,Points
1,University of Texas at San Antonio,89.3
2,Georgia Institute of Technology,84.25
3,Auburn University,82.55
4,University of Minnesota Twin Cities,82.0
5,Kennesaw State University,81.72
6,California State Polytechnic University - San Luis Obispo,80.28
7,Carnegie Mellon University,79.35
8,University of Pennsylvania,78.58
9,The University of Michigan-Dearborn,78.05
10,Louisiana State University,78.0
11,University of California Davis,77.53
12,Rochester Institute of Technology,76.4
13,University of Florida,75.7
14,Massachusetts Institute of Technology,75.42
15,University of Iowa,73.0
16,University of New Mexico,72.97
17,San José State University,72.28
18,University of Wisconsin-Madison,72.13
19,University of Michigan - Ann Arbor,71.7
20,Columbia University,71.6
21,Rensselaer Polytechnic Institute,68.95
22,University of Texas at Arlington,67.8
23,Western Washington University,66.53
24,University of Texas at Austin,66.2
25,The University of Akron,65.93
26,University of California - Santa Cruz,65.35
27,University of Illinois at Urbana-Champaign,64.83
28,Cornell University,63.77
29,University of North Carolina at Asheville,63.7
30,University of Washington,61.8
31,Virginia Polytechnic Institute and State University,61.65
32,Portland State University,60.1
33,University of Kansas,60.1
34,University of California Berkeley,59.63
35,University of Missouri,59.6
36,Missouri University of Science and Technology,57.4
37,University of Nevada - Reno,55.05
38,North Carolina State University,54.3
39,University of California Riverside,52.9
40,Purdue University - West Lafayette,49.78
41,University of Utah,49.05
42,Olin College of Engineering,47.5
43,California Institute of Technology,44.57
44,Cooper Union,39.7
45,San Diego State University,39.52
46,University of Cincinnati,38.77
47,Pennsylvania State University,35.05
48,University of Maryland,34.93
49,Rutgers The State University of New Jersey,34.77
50,University of California Santa Barbara,34.7
51,University of North Carolina at Charlotte,34.2
52,Texas A&M University,32.45
53,California Baptist University,32.2
54,Northwestern University,29.45
55,University of Southern California,28.57
56,Drexel University,25.03
57,University of Colorado - Colorado Springs,17.05
58,University of California Irvine,-9.3
