Rank,University,Lowest Place,#
1,Universität Stuttgart,1st,11
2,ETH Zürich,1st,10
3,Technical University of Munich,1st,10
4,Karlsruhe Institute of Technology,1st,7
5,TU Delft,1st,7
6,Westsächsische Hochschule Zwickau,1st,4
7,Hochschule Bonn-Rhein-Sieg,1st,3
8,Carnegie Mellon University,1st,2
9,Czech Technical University in Prague,1st,2
10,Duale Hochschule Baden-Württemberg Stuttgart,1st,2
11,GFR DHBW Ravensburg & Oregon State University,1st,2
12,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1st,2
13,Tallinn TU UAS,1st,2
14,Fachhochschule Joanneum Graz,1st,1
15,Fachhochschule München,1st,1
16,Massachusetts Institute of Technology,1st,1
17,Monash University,1st,1
18,National Technical University of Athens,1st,1
19,Niigata Institute of Technology,1st,1
20,Politecnico di Torino,1st,1
21,Rheinisch-Westfälische Technische Hochschule Aachen,1st,1
22,Shizuoka Institute of Science and Technology,1st,1
23,Swinburne University of Technology,1st,1
24,Technische Universität Dresden,1st,1
25,Tohoku University,1st,1
26,Toyota Technical College Nagoya,1st,1
27,University of Pennsylvania,1st,1
28,Norwegian University of Science and Technology,2nd,3
29,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2nd,2
30,Budapest University of Technology and Economics,2nd,1
31,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2nd,1
32,Purdue University - West Lafayette,2nd,1
33,Technische Hochschule Ingolstadt,2nd,1
34,Technische Hochschule Köln,2nd,1
35,Technische Universität Darmstadt,2nd,1
36,Technische Universität Graz,2nd,1
37,Universidade Estadual de Campinas,2nd,1
38,University of Auckland,2nd,1
39,University of Canterbury,2nd,1
40,University of Ljubljana,2nd,1
41,University of Michigan - Ann Arbor,2nd,1
42,Universität Bayreuth,2nd,1
43,École Polytechnique de Montréal,2nd,1
44,École Polytechnique Fédérale de Lausanne,2nd,1
45,Technische Universiteit Eindhoven,3rd,2
46,Universidade de Lisboa - Instituto Superior Técnico,3rd,2
47,Fachhochschule Kiel,3rd,1
48,Helsinki Metropolia University of Applied Sciences,3rd,1
49,KU Leuven - Group T Campus,3rd,1
50,Leibniz Universität Hannover,3rd,1
51,McGill University,3rd,1
52,RMIT University,3rd,1
53,Technische Universität Hamburg,3rd,1
54,UAS Würzburg-Schweinfurt,3rd,1
55,University of Seville,3rd,1
56,Université Laval,3rd,1
57,Technische Universität Bergakademie Freiberg,4th,4
58,Technische Universität Wien,4th,2
59,Aristotle University of Thessaloniki,4th,1
60,Brno University of Technology,4th,1
61,Georgia Institute of Technology,4th,1
62,Hochschule Esslingen,4th,1
63,Missouri University of Science and Technology,4th,1
64,Slovak University of Technology in Bratislava,4th,1
65,The University of Akron,4th,1
66,University of Patras,4th,1
67,University of Washington,4th,1
68,University of Western Australia,4th,1
69,Universität Siegen,4th,1
70,Yıldız Technical University,4th,1
71,Ostfalia University of Applied Sciences,5th,2
72,Chalmers University of Technology,5th,1
73,Hochschule Aalen - Technik und Wirtschaft,5th,1
74,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,5th,1
75,Hochschule für angewandte Wissenschaften Augsburg,5th,1
76,Hochschule RheinMain,5th,1
77,National Tsing Hua University,5th,1
78,Universidad Pontificia Comillas,5th,1
79,University of Adelaide,5th,1
80,University of Wisconsin-Madison,5th,1
81,University of Wollongong,5th,1
82,Universität Duisburg-Essen,5th,1
83,Universität Paderborn,5th,1
84,Virginia Polytechnic Institute and State University,5th,1
85,Alma Mater Studiorum - Università di Bologna,6th,1
86,Deggendorf Institute of Technology,6th,1
87,Friedrich-Alexander-Universität Erlangen-Nürnberg,6th,1
88,Georg-Simon-Ohm-Hochschule Nürnberg,6th,1
89,KTH Royal Institute of Technology,6th,1
90,Politecnico di Milano,6th,1
91,University of Agder,6th,1
92,University of Bath,6th,1
93,University of California Davis,6th,1
94,University Of Hertfordshire,6th,1
95,University of Queensland,6th,1
96,University of Technology Sydney,6th,1
97,Università degli Studi di Roma La Sapienza,6th,1
98,Università degli Studi di Trento,6th,1
99,École de Technologie Superieure,6th,1
100,Technische Universität Clausthal,7th,2
101,University of Illinois at Urbana-Champaign,7th,2
102,University of Melbourne,7th,2
103,Fachhochschule Osnabrück,7th,1
104,Hochschule Mannheim,7th,1
105,Kennesaw State University,7th,1
106,The University of Newcastle,7th,1
107,University of Manitoba,7th,1
108,Hochschule Ruhr West - UAS,8th,2
109,Ostbayerische Technische Hochschule Regensburg,8th,1
110,University of Texas at Austin,8th,1
111,Università degli studi di Padova,8th,1
112,Università degli Studi di Parma,8th,1
113,Duale Hochschule Baden-Württemberg - Mannheim,9th,1
114,Escola d'Enginyeria de Barcelona Est. EEBE,9th,1
115,Hochschule für Angewandte Wissenschaften Hof,9th,1
116,Technische Universität Berlin,9th,1
117,Ulm University of Applied Sciences,9th,1
118,University of Iceland,9th,1
119,University of the Basque Country,9th,1
120,Bern University of Applied Sciences,10th,1
121,Fachhochschule Konstanz,10th,1
122,Hochschule Landshut,10th,1
123,Saarland University,10th,1
124,Technische Universität Braunschweig,10th,1
125,Technische Universität Ilmenau,10th,1
126,University of Tasmania,11th,1
127,Universität Bremen,11th,1
128,Leopold-Franzens-Universität Innsbruck,12th,1
129,Technische Universität Kaiserslautern,12th,1
130,University of Zagreb,12th,1
131,Fachhochschule für Wirtschaft und Technik,13th,2
132,Ben-Gurion University of the Negev,14th,1
133,TECNUN - University of Navarra,14th,1
134,Thomas More Mechelen - De Nayer,14th,1
135,University of Nottingham,14th,1
136,University of Southern Denmark,14th,1
137,Zürcher Hochschule für Angewandte Wissenschaften,14th,1
138,Nagoya University,15th,1
139,Liaoning University of Technology,16th,1
140,Moscow State Automobile & Road Technical University - MADI,17th,1
141,Tongji University,17th,1
142,Indian Institute of Technology Bombay,18th,1
143,Indian Institute of Technology Delhi,19th,1
144,Toyohashi University of Technology,19th,1
145,Beijing Institute of Technology,20th,1
146,University of Surrey,21st,1
147,Newcastle University,27th,1
148,Hochschule Pforzheim,29th,1
149,Jilin University,29th,1
150,K. J. Somaiya College of Engineering,29th,1
151,Technische Universität Chemnitz,29th,1
152,Hochschule Darmstadt UAS,36th,1
153,Iwate University,47th,2
154,Daido Institute of Technology,60th,1
155,Kanagawa University,60th,1
156,AGH University of Science and Technology,N/A,0
157,Ain Shams University,N/A,0
158,Belgorod state technological university named after V. G. Shukhov,N/A,0
159,Brunel University London,N/A,0
160,Cairo University,N/A,0
161,California Baptist University,N/A,0
162,California Institute of Technology,N/A,0
163,California State Polytechnic University - San Luis Obispo,N/A,0
164,Central South University - Changsha,N/A,0
165,Concordia University,N/A,0
166,Cornell University,N/A,0
167,Coventry University,N/A,0
168,Delhi Technological University,N/A,0
169,Democritus University of Thrace,N/A,0
170,Drexel University,N/A,0
171,Duale Hochschule Baden-Württemberg Mosbach,N/A,0
172,Dwarkadas. J. Sanghvi College of Engineering,N/A,0
173,ESTACA - Paris-Saclay (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),N/A,0
