Rank,Year,Points
1,2017,982
2,2019,981
3,2022,980
4,2017,969
5,2014,962
6,2017,962
7,2018,961
8,2018,958
9,2021,956
10,2019,949
11,2016,946
12,2019,943
13,2015,942
14,2019,940
15,2021,938
16,2013,937
17,2017,937
18,2012,934
19,2017,933
20,2015,933
21,2015,930
22,2012,926
23,2014,924
24,2017,923
25,2015,923
26,2021,922
27,2016,919
28,2016,918
29,2022,916
30,2019,912
31,2018,910
32,2011,910
33,2013,906
34,2017,905
35,2012,901
36,2018,901
37,2022,896
38,2012,894
39,2016,892
40,2014,889
41,2022,887
42,2018,884
43,2014,884
44,2016,883
45,2010,880
46,2018,880
47,2013,880
48,2021,879
49,2022,875
50,2017,872
51,2012,868
52,2015,868
53,2019,868
54,2016,859
55,2018,859
56,2015,859
57,2017,858
58,2014,856
59,2011,853
60,2013,852
61,2016,852
62,2022,850
63,2016,849
64,2013,848
65,2019,848
66,2022,847
67,2021,847
68,2022,847
69,2013,844
70,2022,841
71,2021,841
72,2015,839
73,2017,838
74,2012,838
75,2017,837
76,2018,837
77,2022,837
78,2022,836
79,2016,832
80,2021,832
81,2016,832
82,2017,829
83,2019,828
84,2019,828
85,2018,826
86,2012,825
87,2021,819
88,2014,815
89,2018,814
90,2018,811
91,2018,810
92,2021,810
93,2014,809
94,2016,806
95,2019,802
96,2018,800
97,2016,796
98,2012,795
99,2018,795
100,2018,791
101,2017,791
102,2021,789
103,2019,789
104,2010,785
105,2019,783
106,2016,782
107,2012,777
108,2018,777
109,2015,777
110,2019,774
111,2015,773
112,2016,772
113,2018,772
114,2019,771
115,2021,770
116,2017,766
117,2015,766
118,2013,765
119,2017,761
120,2016,761
121,2019,760
122,2013,759
123,2016,758
124,2019,758
125,2015,753
126,2017,752
127,2011,746
128,2019,746
129,2010,745
130,2013,744
131,2016,743
132,2013,742
133,2015,742
134,2012,738
135,2012,738
136,2019,738
137,2012,734
138,2019,733
139,2011,732
140,2013,732
141,2022,728
142,2014,728
143,2022,727
144,2021,727
145,2019,726
146,2015,725
147,2016,724
148,2015,723
149,2018,722
150,2014,721
151,2019,721
152,2018,720
153,2014,720
154,2022,719
155,2019,716
156,2018,714
157,2021,713
158,2019,712
159,2019,709
160,2013,708
161,2019,706
162,2022,705
163,2012,704
164,2019,700
165,2021,700
166,2018,700
167,2018,699
168,2014,699
169,2022,698
170,2014,697
171,2016,695
172,2022,693
173,2014,691
174,2016,691
175,2022,689
176,2019,688
177,2014,682
178,2015,681
179,2019,680
180,2021,680
181,2013,678
182,2016,678
183,2016,678
184,2019,678
185,2018,678
186,2014,675
187,2011,675
188,2019,670
189,2019,669
190,2017,666
191,2013,665
192,2018,663
193,2022,661
194,2014,659
195,2015,659
196,2013,656
197,2015,656
198,2019,651
199,2022,650
200,2017,649
201,2018,647
202,2022,647
203,2022,646
204,2014,645
205,2021,644
206,2019,641
207,2017,640
208,2015,640
209,2012,637
210,2019,633
